,0,1
660,2022012812,-334
661,2022012813,-483
662,2022012814,-468
663,2022012815,-279
664,2022012816,47
665,2022012817,466
666,2022012818,779
667,2022012819,987
668,2022012820,901
669,2022012821,560
670,2022012822,124
671,2022012823,-348
672,2022012900,-831
673,2022012901,-1158
674,2022012902,-1297
675,2022012903,-1162
676,2022012904,-845
677,2022012905,-245
678,2022012906,283
679,2022012907,856
680,2022012908,1169
681,2022012909,1187
682,2022012910,900
683,2022012911,563
684,2022012912,99
685,2022012913,-315
686,2022012914,-590
687,2022012915,-606
688,2022012916,-411
689,2022012917,-85
690,2022012918,367
691,2022012919,815
692,2022012920,1050
693,2022012921,1031
694,2022012922,716
695,2022012923,183
696,2022013000,-452
697,2022013001,-917
698,2022013002,-1321
699,2022013003,-1466
700,2022013004,-1346
701,2022013005,-978
702,2022013006,-285
703,2022013007,370
704,2022013008,954
705,2022013009,1364
706,2022013010,1431
707,2022013011,1165
708,2022013012,707
709,2022013013,182
710,2022013014,-289
711,2022013015,-628
712,2022013016,-713
713,2022013017,-544
714,2022013018,-199
715,2022013019,303
716,2022013020,786
717,2022013021,1078
718,2022013022,1072
719,2022013023,737
720,2022013100,193
721,2022013101,-500
722,2022013102,-1002
723,2022013103,-1432
724,2022013104,-1567
725,2022013105,-1551
726,2022013106,-1240
727,2022013107,-428
728,2022013108,303
729,2022013109,990
730,2022013110,1380
731,2022013111,1491
732,2022013112,1145
733,2022013113,639
734,2022013114,51
735,2022013115,-499
736,2022013116,-780
737,2022013117,-840
738,2022013118,-671
739,2022013119,-243
740,2022013120,272
741,2022013121,809
742,2022013122,1162
743,2022013123,1184
744,2022020100,735
745,2022020101,91
746,2022020102,-639
747,2022020103,-1141
748,2022020104,-1540
749,2022020105,-1654
750,2022020106,-1603
751,2022020107,-1184
752,2022020108,-337
753,2022020109,457
754,2022020110,1196
755,2022020111,1599
756,2022020112,1524
757,2022020113,1149
758,2022020114,607
759,2022020115,-7
760,2022020116,-501
761,2022020117,-764
762,2022020118,-784
763,2022020119,-532
764,2022020120,1
765,2022020121,602
766,2022020122,1118
767,2022020123,1384
768,2022020200,1237
769,2022020201,763
770,2022020202,98
771,2022020203,-630
772,2022020204,-1156
773,2022020205,-1536
774,2022020206,-1645
775,2022020207,-1410
776,2022020208,-908
777,2022020209,-44
778,2022020210,658
779,2022020211,1279
780,2022020212,1567
781,2022020213,1410
782,2022020214,944
783,2022020215,317
784,2022020216,-287
785,2022020217,-760
786,2022020218,-958
787,2022020219,-876
788,2022020220,-534
789,2022020221,70
790,2022020222,666
791,2022020223,1167
792,2022020300,1364
793,2022020301,1153
794,2022020302,578
795,2022020303,-125
796,2022020304,-807
797,2022020305,-1329
798,2022020306,-1558
799,2022020307,-1595
800,2022020308,-1259
801,2022020309,-622
802,2022020310,159
803,2022020311,898
804,2022020312,1429
805,2022020313,1573
806,2022020314,1295
807,2022020315,800
808,2022020316,175
809,2022020317,-400
810,2022020318,-771
811,2022020319,-907
812,2022020320,-717
813,2022020321,-299
814,2022020322,293
815,2022020323,888
816,2022020400,1326
817,2022020401,1379
818,2022020402,1055
819,2022020403,506
820,2022020404,-234
821,2022020405,-829
822,2022020406,-1303
823,2022020407,-1503
824,2022020408,-1423
825,2022020409,-1039
826,2022020410,-331
827,2022020411,385
828,2022020412,1032
829,2022020413,1388
830,2022020414,1377
831,2022020415,966
832,2022020416,448
833,2022020417,-189
834,2022020418,-718
835,2022020419,-991
836,2022020420,-1028
837,2022020421,-783
838,2022020422,-315
839,2022020423,248
840,2022020500,837
841,2022020501,1157
842,2022020502,1162
843,2022020503,775
844,2022020504,202
845,2022020505,-473
846,2022020506,-969
847,2022020507,-1370
848,2022020508,-1448
849,2022020509,-1253
850,2022020510,-832
851,2022020511,-128
852,2022020512,519
853,2022020513,1023
854,2022020514,1248
855,2022020515,1087
856,2022020516,635
857,2022020517,70
858,2022020518,-480
859,2022020519,-877
860,2022020520,-1080
861,2022020521,-1020
862,2022020522,-707
863,2022020523,-198
864,2022020600,358
865,2022020601,854
866,2022020602,1088
867,2022020603,961
868,2022020604,589
869,2022020605,8
870,2022020606,-580
871,2022020607,-990
872,2022020608,-1285
873,2022020609,-1264
874,2022020610,-1017
875,2022020611,-500
876,2022020612,87
877,2022020613,644
878,2022020614,994
879,2022020615,1052
880,2022020616,796
881,2022020617,341
882,2022020618,-226
883,2022020619,-725
884,2022020620,-1049
885,2022020621,-1172
886,2022020622,-1040
887,2022020623,-670
888,2022020700,-174
889,2022020701,340
890,2022020702,755
891,2022020703,926
892,2022020704,785
893,2022020705,439
894,2022020706,-114
895,2022020707,-613
896,2022020708,-905
897,2022020709,-1054
898,2022020710,-974
899,2022020711,-602
900,2022020712,-137
901,2022020713,399
902,2022020714,859
903,2022020715,1073
904,2022020716,1129
905,2022020717,789
906,2022020718,217
907,2022020719,-295
908,2022020720,-771
909,2022020721,-982
910,2022020722,-1044
911,2022020723,-930
912,2022020800,-452
913,2022020801,-1
914,2022020802,478
915,2022020803,864
916,2022020804,940
917,2022020805,790
918,2022020806,418
919,2022020807,-1
920,2022020808,-402
921,2022020809,-695
922,2022020810,-806
923,2022020811,-656
924,2022020812,-326
925,2022020813,77
926,2022020814,540
927,2022020815,876
928,2022020816,1022
929,2022020817,876
930,2022020818,552
931,2022020819,130
932,2022020820,-363
933,2022020821,-723
934,2022020822,-918
935,2022020823,-911
936,2022020900,-720
937,2022020901,-350
938,2022020902,5
939,2022020903,419
940,2022020904,688
941,2022020905,770
942,2022020906,619
943,2022020907,333
944,2022020908,-60
945,2022020909,-388
946,2022020910,-634
947,2022020911,-659
948,2022020912,-511
949,2022020913,-304
950,2022020914,34
951,2022020915,376
952,2022020916,625
953,2022020917,726
954,2022020918,573
955,2022020919,278
956,2022020920,-109
957,2022020921,-540
958,2022020922,-820
959,2022020923,-972
960,2022021000,-986
961,2022021001,-765
962,2022021002,-439
963,2022021003,-86
964,2022021004,332
965,2022021005,631
966,2022021006,729
967,2022021007,650
968,2022021008,420
969,2022021009,108
970,2022021010,-185
971,2022021011,-380
972,2022021012,-433
973,2022021013,-383
974,2022021014,-193
975,2022021015,54
976,2022021016,395
977,2022021017,608
978,2022021018,684
979,2022021019,593
980,2022021020,329
981,2022021021,-27
982,2022021022,-414
983,2022021023,-717
984,2022021100,-880
985,2022021101,-922
986,2022021102,-732
987,2022021103,-501
988,2022021104,-134
989,2022021105,275
990,2022021106,577
991,2022021107,758
992,2022021108,757
993,2022021109,577
994,2022021110,325
995,2022021111,21
996,2022021112,-252
997,2022021113,-385
998,2022021114,-365
999,2022021115,-222
1000,2022021116,-26
1001,2022021117,231
1002,2022021118,508
1003,2022021119,656
1004,2022021120,582
1005,2022021121,449
1006,2022021122,50
1007,2022021123,-374
1008,2022021200,-722
1009,2022021201,-928
1010,2022021202,-1021
1011,2022021203,-935
1012,2022021204,-618
1013,2022021205,-218
1014,2022021206,247
1015,2022021207,649
1016,2022021208,903
1017,2022021209,940
1018,2022021210,784
1019,2022021211,488
1020,2022021212,144
1021,2022021213,-182
1022,2022021214,-404
1023,2022021215,-424
1024,2022021216,-358
1025,2022021217,-121
1026,2022021218,202
1027,2022021219,509
1028,2022021220,708
1029,2022021221,714
1030,2022021222,497
1031,2022021223,141
1032,2022021300,-321
1033,2022021301,-737
1034,2022021302,-971
1035,2022021303,-1113
1036,2022021304,-1043
1037,2022021305,-721
1038,2022021306,-267
1039,2022021307,205
1040,2022021308,665
1041,2022021309,1001
1042,2022021310,1056
1043,2022021311,864
1044,2022021312,568
1045,2022021313,163
1046,2022021314,-236
1047,2022021315,-481
1048,2022021316,-546
1049,2022021317,-433
1050,2022021318,-132
1051,2022021319,202
1052,2022021320,555
1053,2022021321,773
1054,2022021322,802
1055,2022021323,501
1056,2022021400,114
1057,2022021401,-404
1058,2022021402,-797
1059,2022021403,-1068
1060,2022021404,-1189
1061,2022021405,-1060
1062,2022021406,-673
1063,2022021407,-94
1064,2022021408,437
1065,2022021409,880
1066,2022021410,1151
1067,2022021411,1113
1068,2022021412,833
1069,2022021413,399
1070,2022021414,-66
1071,2022021415,-456
1072,2022021416,-634
1073,2022021417,-630
1074,2022021418,-432
1075,2022021419,-106
1076,2022021420,370
1077,2022021421,726
1078,2022021422,917
1079,2022021423,806
1080,2022021500,445
1081,2022021501,-106
1082,2022021502,-659
1083,2022021503,-1023
1084,2022021504,-1311
1085,2022021505,-1335
1086,2022021506,-1112
1087,2022021507,-570
1088,2022021508,64
1089,2022021509,648
1090,2022021510,1100
1091,2022021511,1277
1092,2022021512,1107
1093,2022021513,694
1094,2022021514,199
1095,2022021515,-293
1096,2022021516,-639
1097,2022021517,-743
1098,2022021518,-622
1099,2022021519,-306
1100,2022021520,181
1101,2022021521,666
1102,2022021522,1018
1103,2022021523,1102
1104,2022021600,832
1105,2022021601,326
1106,2022021602,-275
1107,2022021603,-807
1108,2022021604,-1164
1109,2022021605,-1389
1110,2022021606,-1267
1111,2022021607,-940
1112,2022021608,-287
1113,2022021609,441
1114,2022021610,1003
1115,2022021611,1336
1116,2022021612,1296
1117,2022021613,965
1118,2022021614,460
1119,2022021615,-95
1120,2022021616,-553
1121,2022021617,-795
1122,2022021618,-782
1123,2022021619,-562
1124,2022021620,-134
1125,2022021621,398
1126,2022021622,901
1127,2022021623,1159
1128,2022021700,1047
1129,2022021701,676
1130,2022021702,102
1131,2022021703,-566
1132,2022021704,-967
1133,2022021705,-1380
1134,2022021706,-1324
1135,2022021707,-1141
1136,2022021708,-579
1137,2022021709,93
1138,2022021710,831
1139,2022021711,1279
1140,2022021712,1451
1141,2022021713,1267
1142,2022021714,775
1143,2022021715,273
1144,2022021716,-273
1145,2022021717,-669
1146,2022021718,-741
1147,2022021719,-608
1148,2022021720,-266
1149,2022021721,303
1150,2022021722,846
1151,2022021723,1231
1152,2022021800,1311
1153,2022021801,1039
1154,2022021802,539
1155,2022021803,-133
1156,2022021804,-753
1157,2022021805,-1117
1158,2022021806,-1376
1159,2022021807,-1239
1160,2022021808,-927
1161,2022021809,-216
1162,2022021810,474
1163,2022021811,1054
1164,2022021812,1401
1165,2022021813,1417
1166,2022021814,1044
1167,2022021815,497
1168,2022021816,-101
1169,2022021817,-589
1170,2022021818,-849
1171,2022021819,-883
1172,2022021820,-596
1173,2022021821,-170
1174,2022021822,466
1175,2022021823,1029
1176,2022021900,1302
1177,2022021901,1299
1178,2022021902,874
1179,2022021903,269
1180,2022021904,-397
1181,2022021905,-855
1182,2022021906,-1198
1183,2022021907,-1327
1184,2022021908,-1109
1185,2022021909,-605
1186,2022021910,194
1187,2022021911,822
1188,2022021912,1359
1189,2022021913,1529
1190,2022021914,1267
1191,2022021915,804
1192,2022021916,242
1193,2022021917,-315
1194,2022021918,-760
1195,2022021919,-901
1196,2022021920,-715
1197,2022021921,-412
1198,2022021922,171
1199,2022021923,790
1200,2022022000,1183
1201,2022022001,1311
1202,2022022002,1164
1203,2022022003,724
1204,2022022004,71
1205,2022022005,-560
1206,2022022006,-927
1207,2022022007,-1149
1208,2022022008,-1115
1209,2022022009,-749
1210,2022022010,-265
1211,2022022011,340
1212,2022022012,837
1213,2022022013,1133
1214,2022022014,1077
1215,2022022015,752
1216,2022022016,275
1217,2022022017,-292
1218,2022022018,-781
1219,2022022019,-1022
1220,2022022020,-1097
1221,2022022021,-886
1222,2022022022,-450
1223,2022022023,70
1224,2022022100,573
1225,2022022101,947
1226,2022022102,1005
1227,2022022103,735
1228,2022022104,242
1229,2022022105,-380
1230,2022022106,-836
1231,2022022107,-1164
1232,2022022108,-1341
1233,2022022109,-1202
1234,2022022110,-832
1235,2022022111,-229
1236,2022022112,400
1237,2022022113,861
1238,2022022114,1078
1239,2022022115,928
1240,2022022116,486
1241,2022022117,-73
1242,2022022118,-667
1243,2022022119,-985
1244,2022022120,-1216
1245,2022022121,-1198
1246,2022022122,-916
1247,2022022123,-397
1248,2022022200,208
1249,2022022201,742
1250,2022022202,1069
1251,2022022203,1060
1252,2022022204,706
1253,2022022205,220
1254,2022022206,-308
1255,2022022207,-779
1256,2022022208,-1000
1257,2022022209,-1016
1258,2022022210,-811
1259,2022022211,-343
1260,2022022212,224
1261,2022022213,761
1262,2022022214,1135
1263,2022022215,1145
1264,2022022216,890
1265,2022022217,429
1266,2022022218,-177
1267,2022022219,-694
1268,2022022220,-950
1269,2022022221,-1162
1270,2022022222,-1040
1271,2022022223,-627
1272,2022022300,-97
1273,2022022301,458
1274,2022022302,948
1275,2022022303,1175
1276,2022022304,1084
1277,2022022305,686
1278,2022022306,270
1279,2022022307,-138
1280,2022022308,-561
1281,2022022309,-777
1282,2022022310,-673
1283,2022022311,-408
1284,2022022312,-68
1285,2022022313,404
1286,2022022314,747
1287,2022022315,1036
1288,2022022316,1001
1289,2022022317,763
1290,2022022318,245
1291,2022022319,-299
1292,2022022320,-730
1293,2022022321,-958
1294,2022022322,-1128
1295,2022022323,-1019
1296,2022022400,-647
1297,2022022401,-194
1298,2022022402,263
1299,2022022403,609
1300,2022022404,783
1301,2022022405,701
1302,2022022406,472
1303,2022022407,113
1304,2022022408,-297
1305,2022022409,-615
1306,2022022410,-758
1307,2022022411,-723
1308,2022022412,-533
1309,2022022413,-216
1310,2022022414,165
1311,2022022415,500
1312,2022022416,695
1313,2022022417,669
1314,2022022418,391
1315,2022022419,-45
1316,2022022420,-550
1317,2022022421,-919
1318,2022022422,-1233
1319,2022022423,-1345
1320,2022022500,-1225
1321,2022022501,-929
1322,2022022502,-450
1323,2022022503,69
1324,2022022504,497
1325,2022022505,788
1326,2022022506,810
1327,2022022507,621
1328,2022022508,302
1329,2022022509,-68
1330,2022022510,-396
1331,2022022511,-625
1332,2022022512,-665
1333,2022022513,-527
1334,2022022514,-260
1335,2022022515,115
1336,2022022516,488
1337,2022022517,750
1338,2022022518,750
1339,2022022519,531
1340,2022022520,140
1341,2022022521,-352
1342,2022022522,-799
1343,2022022523,-1116
1344,2022022600,-1328
1345,2022022601,-1282
1346,2022022602,-1050
1347,2022022603,-584
1348,2022022604,-54
1349,2022022605,462
1350,2022022606,836
1351,2022022607,1001
1352,2022022608,896
1353,2022022609,591
1354,2022022610,218
1355,2022022611,-166
1356,2022022612,-462
1357,2022022613,-603
1358,2022022614,-566
1359,2022022615,-376
1360,2022022616,-38
1361,2022022617,370
1362,2022022618,686
1363,2022022619,821
1364,2022022620,708
1365,2022022621,369
1366,2022022622,-110
1367,2022022623,-654
1368,2022022700,-1002
1369,2022022701,-1345
1370,2022022702,-1408
1371,2022022703,-1269
1372,2022022704,-933
1373,2022022705,-272
1374,2022022706,349
1375,2022022707,874
1376,2022022708,1215
1377,2022022709,1247
1378,2022022710,959
1379,2022022711,545
1380,2022022712,73
1381,2022022713,-340
1382,2022022714,-587
1383,2022022715,-620
1384,2022022716,-473
1385,2022022717,-155
1386,2022022718,293
1387,2022022719,709
1388,2022022720,968
1389,2022022721,966
1390,2022022722,646
1391,2022022723,148
1392,2022022800,-455
1393,2022022801,-904
