,0,1
5315,2021082716,684.0
5316,2021082717,178.0
5317,2021082718,-316.0
5318,2021082719,-693.0
5319,2021082720,-848.0
5320,2021082721,-765.0
5321,2021082722,-454.0
5322,2021082723,9.0
5323,2021082800,542.0
5324,2021082801,977.0
5325,2021082802,1193.0
5326,2021082803,1095.0
5327,2021082804,761.0
5328,2021082805,286.0
5329,2021082806,-229.0
5330,2021082807,-635.0
5331,2021082808,-873.0
5332,2021082809,-908.0
5333,2021082810,-652.0
5334,2021082811,-273.0
5335,2021082812,239.0
5336,2021082813,710.0
5337,2021082814,1040.0
5338,2021082815,1118.0
5339,2021082816,901.0
5340,2021082817,492.0
5341,2021082818,48.0
5342,2021082819,-357.0
5343,2021082820,-631.0
5344,2021082821,-722.0
5345,2021082822,-583.0
5346,2021082823,-236.0
5347,2021082900,212.0
5348,2021082901,625.0
5349,2021082902,961.0
5350,2021082903,1057.0
5351,2021082904,875.0
5352,2021082905,484.0
5353,2021082906,32.0
5354,2021082907,-425.0
5355,2021082908,-752.0
5356,2021082909,-896.0
5357,2021082910,-855.0
5358,2021082911,-559.0
5359,2021082912,-154.0
5360,2021082913,323.0
5361,2021082914,723.0
5362,2021082915,954.0
5363,2021082916,946.0
5364,2021082917,736.0
5365,2021082918,425.0
5366,2021082919,21.0
5367,2021082920,-298.0
5368,2021082921,-500.0
5369,2021082922,-499.0
5370,2021082923,-327.0
5371,2021083000,-18.0
5372,2021083001,382.0
5373,2021083002,698.0
5374,2021083003,916.0
5375,2021083004,922.0
5376,2021083005,682.0
5377,2021083006,384.0
5378,2021083007,-80.0
5379,2021083008,-468.0
5380,2021083009,-736.0
5381,2021083010,-819.0
5382,2021083011,-716.0
5383,2021083012,-459.0
5384,2021083013,-71.0
5385,2021083014,322.0
5386,2021083015,666.0
5387,2021083016,847.0
5388,2021083017,845.0
5389,2021083018,633.0
5390,2021083019,379.0
5391,2021083020,70.0
5392,2021083021,-223.0
5393,2021083023,-333.0
5394,2021083100,-186.0
5395,2021083101,68.0
5396,2021083102,404.0
5397,2021083103,658.0
5398,2021083104,779.0
5399,2021083105,753.0
5400,2021083106,550.0
5401,2021083107,248.0
5402,2021083108,-139.0
5403,2021083109,-484.0
5404,2021083110,-692.0
5405,2021083111,-774.0
5406,2021083112,-653.0
5407,2021083113,-428.0
5408,2021083114,-89.0
5409,2021083115,277.0
5410,2021083116,614.0
5411,2021083117,777.0
5412,2021083118,811.0
5413,2021083119,660.0
5414,2021083120,436.0
5415,2021083121,180.0
5416,2021083122,-45.0
5417,2021083123,-190.0
5418,2021090100,-219.0
5419,2021090101,-124.0
5420,2021090102,73.0
5421,2021090103,351.0
5422,2021090104,547.0
5423,2021090105,678.0
5424,2021090106,688.0
5425,2021090107,490.0
5426,2021090108,218.0
5427,2021090109,-81.0
5428,2021090110,-404.0
5429,2021090111,-664.0
5430,2021090112,-768.0
5431,2021090113,-674.0
5432,2021090114,-496.0
5433,2021090115,-144.0
5434,2021090116,209.0
5435,2021090117,561.0
5436,2021090118,787.0
5437,2021090119,852.0
5438,2021090120,790.0
5439,2021090121,630.0
5440,2021090122,393.0
5441,2021090123,114.0
5442,2021090200,-62.0
5443,2021090201,-152.0
5444,2021090202,-115.0
5445,2021090203,34.0
5446,2021090204,248.0
5447,2021090205,495.0
5448,2021090206,659.0
5449,2021090207,714.0
5450,2021090208,569.0
5451,2021090209,366.0
5452,2021090210,27.0
5453,2021090211,-313.0
5454,2021090212,-637.0
5455,2021090213,-781.0
5456,2021090214,-771.0
5457,2021090215,-590.0
5458,2021090216,-275.0
5459,2021090217,137.0
5460,2021090218,540.0
5461,2021090219,877.0
5462,2021090220,1049.0
5463,2021090221,1009.0
5464,2021090222,786.0
5465,2021090223,466.0
5466,2021090300,134.0
5467,2021090301,-148.0
5468,2021090302,-284.0
5469,2021090303,-303.0
5470,2021090304,-143.0
5471,2021090305,110.0
5472,2021090306,411.0
5473,2021090307,660.0
5474,2021090308,798.0
5475,2021090309,710.0
5476,2021090310,442.0
5477,2021090311,73.0
5478,2021090312,-334.0
5479,2021090313,-682.0
5480,2021090314,-871.0
5481,2021090315,-903.0
5482,2021090316,-679.0
5483,2021090317,-312.0
5484,2021090318,126.0
5485,2021090319,645.0
5486,2021090320,1031.0
5487,2021090321,1218.0
5488,2021090322,1164.0
5489,2021090323,892.0
5490,2021090400,522.0
5491,2021090401,123.0
5492,2021090402,-196.0
5493,2021090403,-382.0
5494,2021090404,-363.0
5495,2021090405,-167.0
5496,2021090406,157.0
5497,2021090407,536.0
5498,2021090408,842.0
5499,2021090409,972.0
5500,2021090410,859.0
5501,2021090411,522.0
5502,2021090412,55.0
5503,2021090413,-426.0
5504,2021090414,-791.0
5505,2021090415,-979.0
5506,2021090416,-998.0
5507,2021090417,-707.0
5508,2021090418,-278.0
5509,2021090419,270.0
5510,2021090420,803.0
5511,2021090421,1201.0
5512,2021090422,1339.0
5513,2021090423,1183.0
5514,2021090500,827.0
5515,2021090501,389.0
5516,2021090502,-57.0
5517,2021090503,-390.0
5518,2021090504,-531.0
5519,2021090505,-452.0
5520,2021090506,-157.0
5521,2021090507,257.0
5522,2021090508,695.0
5523,2021090509,1016.0
5524,2021090510,1092.0
5525,2021090511,859.0
5526,2021090512,429.0
5527,2021090513,-117.0
5528,2021090514,-634.0
5529,2021090515,-966.0
5530,2021090516,-1183.0
5531,2021090517,-1080.0
5532,2021090518,-691.0
5533,2021090519,-181.0
5534,2021090520,432.0
5535,2021090521,996.0
5536,2021090522,1357.0
5537,2021090523,1362.0
5538,2021090600,1091.0
5539,2021090601,642.0
5540,2021090602,106.0
5541,2021090603,-336.0
5542,2021090604,-606.0
5543,2021090605,-655.0
5544,2021090606,-464.0
5545,2021090607,-32.0
5546,2021090608,470.0
5547,2021090609,963.0
5548,2021090610,1236.0
5549,2021090611,1213.0
5550,2021090612,837.0
5551,2021090613,290.0
5552,2021090614,-290.0
5553,2021090615,-814.0
5554,2021090616,-1133.0
5555,2021090617,-1243.0
5556,2021090618,-1042.0
5557,2021090619,-522.0
5558,2021090620,137.0
5559,2021090621,789.0
5560,2021090622,1327.0
5561,2021090623,1563.0
5562,2021090700,1397.0
5563,2021090701,940.0
5564,2021090702,374.0
5565,2021090703,-182.0
5566,2021090704,-596.0
5567,2021090705,-802.0
5568,2021090706,-720.0
5569,2021090707,-370.0
5570,2021090708,173.0
5571,2021090709,762.0
5572,2021090710,1242.0
5573,2021090711,1425.0
5574,2021090712,1240.0
5575,2021090713,738.0
5576,2021090714,124.0
5577,2021090715,-511.0
5578,2021090716,-931.0
5579,2021090717,-1256.0
5580,2021090718,-1205.0
5581,2021090719,-898.0
5582,2021090720,-263.0
5583,2021090721,465.0
5584,2021090722,1133.0
5585,2021090723,1563.0
5586,2021090800,1631.0
5587,2021090801,1270.0
5588,2021090802,705.0
5589,2021090803,81.0
5590,2021090804,-448.0
5591,2021090805,-799.0
5592,2021090806,-882.0
5593,2021090807,-631.0
5594,2021090808,-142.0
5595,2021090809,483.0
5596,2021090810,1083.0
5597,2021090811,1481.0
5598,2021090812,1542.0
5599,2021090813,1188.0
5600,2021090814,580.0
5601,2021090815,-89.0
5602,2021090816,-696.0
5603,2021090817,-1065.0
5604,2021090818,-1290.0
5605,2021090819,-1127.0
5606,2021090820,-649.0
5607,2021090821,-18.0
5608,2021090822,698.0
5609,2021090823,1266.0
5610,2021090900,1544.0
5611,2021090901,1381.0
5612,2021090902,899.0
5613,2021090903,311.0
5614,2021090904,-342.0
5615,2021090905,-813.0
5616,2021090906,-1062.0
5617,2021090907,-1036.0
5618,2021090908,-657.0
5619,2021090909,-102.0
5620,2021090910,569.0
5621,2021090911,1136.0
5622,2021090912,1469.0
5623,2021090913,1397.0
5624,2021090914,945.0
5625,2021090915,340.0
5626,2021090916,-317.0
5627,2021090917,-825.0
5628,2021090918,-1158.0
5629,2021090919,-1230.0
5630,2021090920,-991.0
5631,2021090921,-413.0
5632,2021090922,264.0
5633,2021090923,929.0
5634,2021091000,1389.0
5635,2021091001,1506.0
5636,2021091002,1178.0
5637,2021091003,635.0
5638,2021091004,-9.0
5639,2021091005,-565.0
5640,2021091006,-932.0
5641,2021091007,-1127.0
5642,2021091008,-966.0
5643,2021091009,-465.0
5644,2021091010,180.0
5645,2021091011,837.0
5646,2021091012,1344.0
5647,2021091013,1551.0
5648,2021091014,1352.0
5649,2021091015,856.0
5650,2021091016,229.0
5651,2021091017,-369.0
5652,2021091018,-815.0
5653,2021091019,-1043.0
5654,2021091020,-1009.0
5655,2021091021,-621.0
5656,2021091022,-50.0
5657,2021091023,612.0
5658,2021091100,1155.0
5659,2021091101,1480.0
5660,2021091102,1396.0
5661,2021091103,983.0
5662,2021091104,376.0
5663,2021091105,-245.0
5664,2021091106,-776.0
5665,2021091107,-1035.0
5666,2021091108,-1119.0
5667,2021091109,-841.0
5668,2021091110,-301.0
5669,2021091111,406.0
5670,2021091112,956.0
5671,2021091113,1435.0
5672,2021091114,1590.0
5673,2021091115,1301.0
5674,2021091116,774.0
5675,2021091117,292.0
5676,2021091118,-390.0
5677,2021091119,-764.0
5678,2021091120,-942.0
5679,2021091121,-786.0
5680,2021091122,-353.0
5681,2021091123,217.0
5682,2021091200,817.0
5683,2021091201,1299.0
5684,2021091202,1518.0
5685,2021091203,1336.0
5686,2021091204,854.0
5687,2021091205,212.0
5688,2021091206,-419.0
5689,2021091207,-857.0
5690,2021091208,-1100.0
5691,2021091209,-1104.0
5692,2021091210,-745.0
5693,2021091211,-174.0
5694,2021091212,532.0
5695,2021091213,1147.0
5696,2021091214,1560.0
5697,2021091215,1702.0
5698,2021091216,1391.0
5699,2021091217,937.0
5700,2021091218,455.0
5701,2021091219,-57.0
5702,2021091220,-450.0
5703,2021091221,-566.0
5704,2021091222,-456.0
5705,2021091223,-61.0
5706,2021091300,435.0
5707,2021091301,923.0
5708,2021091302,1321.0
5709,2021091303,1370.0
5710,2021091304,1093.0
5711,2021091305,570.0
5712,2021091306,-14.0
5713,2021091307,-590.0
5714,2021091308,-923.0
5715,2021091309,-1174.0
5716,2021091310,-1158.0
5717,2021091311,-755.0
5718,2021091312,-222.0
5719,2021091313,390.0
5720,2021091314,922.0
5721,2021091315,1248.0
5722,2021091316,1287.0
5723,2021091317,1015.0
5724,2021091318,638.0
5725,2021091319,202.0
5726,2021091320,-154.0
5727,2021091321,-406.0
5728,2021091322,-465.0
5729,2021091323,-331.0
5730,2021091400,-28.0
5731,2021091401,386.0
5732,2021091402,784.0
5733,2021091403,1042.0
5734,2021091404,1026.0
5735,2021091405,758.0
5736,2021091406,309.0
5737,2021091407,-221.0
5738,2021091408,-703.0
5739,2021091409,-982.0
5740,2021091410,-1188.0
5741,2021091411,-1150.0
5742,2021091412,-881.0
5743,2021091413,-319.0
5744,2021091414,226.0
5745,2021091415,732.0
5746,2021091416,1099.0
5747,2021091417,1169.0
5748,2021091418,1024.0
5749,2021091419,698.0
5750,2021091420,390.0
5751,2021091421,57.0
5752,2021091422,-219.0
5753,2021091423,-278.0
5754,2021091500,-192.0
5755,2021091501,28.0
5756,2021091502,361.0
5757,2021091504,979.0
5758,2021091505,1028.0
5759,2021091506,845.0
5760,2021091507,485.0
5761,2021091508,34.0
5762,2021091509,-428.0
5763,2021091510,-798.0
5764,2021091511,-949.0
5765,2021091512,-997.0
5766,2021091513,-777.0
5767,2021091514,-397.0
5768,2021091515,94.0
5769,2021091516,577.0
5770,2021091517,960.0
5771,2021091518,1164.0
5772,2021091519,1088.0
5773,2021091520,851.0
5774,2021091521,503.0
5775,2021091522,142.0
5776,2021091523,-146.0
5777,2021091600,-318.0
5778,2021091601,-304.0
5779,2021091602,-163.0
5780,2021091603,116.0
5781,2021091604,452.0
5782,2021091605,771.0
5783,2021091606,924.0
5784,2021091607,872.0
5785,2021091608,581.0
5786,2021091609,170.0
5787,2021091610,-304.0
5788,2021091611,-746.0
5789,2021091612,-960.0
5790,2021091613,-1102.0
5791,2021091614,-995.0
5792,2021091615,-608.0
5793,2021091616,-123.0
5794,2021091617,409.0
5795,2021091618,891.0
5796,2021091619,1209.0
5797,2021091620,1281.0
5798,2021091621,1071.0
5799,2021091622,756.0
5800,2021091623,343.0
5801,2021091700,-54.0
5802,2021091701,-331.0
5803,2021091702,-436.0
5804,2021091703,-348.0
5805,2021091704,-97.0
5806,2021091705,275.0
5807,2021091706,680.0
5808,2021091707,969.0
5809,2021091708,1039.0
5810,2021091709,848.0
5811,2021091710,440.0
5812,2021091711,-78.0
5813,2021091712,-599.0
5814,2021091713,-896.0
5815,2021091714,-1125.0
5816,2021091715,-1096.0
5817,2021091716,-770.0
5818,2021091717,-271.0
5819,2021091718,293.0
5820,2021091719,873.0
5821,2021091720,1297.0
5822,2021091721,1412.0
5823,2021091722,1238.0
5824,2021091723,854.0
5825,2021091800,410.0
5826,2021091801,-100.0
5827,2021091802,-447.0
5828,2021091803,-585.0
5829,2021091804,-498.0
5830,2021091805,-211.0
5831,2021091806,204.0
5832,2021091807,666.0
5833,2021091808,1042.0
5834,2021091809,1159.0
5835,2021091810,953.0
5836,2021091811,500.0
5837,2021091812,-61.0
5838,2021091813,-632.0
5839,2021091814,-948.0
5840,2021091815,-1223.0
5841,2021091816,-1202.0
5842,2021091817,-952.0
5843,2021091818,-360.0
5844,2021091819,287.0
5845,2021091820,901.0
5846,2021091821,1343.0
5847,2021091822,1435.0
5848,2021091823,1189.0
5849,2021091900,749.0
5850,2021091901,228.0
5851,2021091902,-271.0
5852,2021091903,-635.0
5853,2021091904,-754.0
5854,2021091905,-593.0
5855,2021091906,-234.0
5856,2021091907,238.0
5857,2021091908,801.0
5858,2021091909,1185.0
5859,2021091910,1289.0
5860,2021091911,989.0
5861,2021091912,496.0
5862,2021091913,-111.0
5863,2021091914,-690.0
5864,2021091915,-1015.0
5865,2021091916,-1259.0
5866,2021091917,-1170.0
5867,2021091918,-732.0
5868,2021091919,-164.0
5869,2021091920,517.0
5870,2021091921,1104.0
5871,2021091922,1451.0
5872,2021091923,1435.0
5873,2021092000,1081.0
5874,2021092001,554.0
5875,2021092002,-4.0
5876,2021092003,-486.0
5877,2021092004,-785.0
5878,2021092005,-814.0
5879,2021092006,-577.0
5880,2021092007,-134.0
5881,2021092008,425.0
5882,2021092009,992.0
5883,2021092010,1315.0
5884,2021092011,1279.0
5885,2021092012,874.0
5886,2021092013,304.0
5887,2021092014,-308.0
5888,2021092015,-836.0
5889,2021092016,-1152.0
5890,2021092017,-1280.0
5891,2021092018,-1106.0
5892,2021092019,-604.0
5893,2021092020,55.0
5894,2021092021,716.0
5895,2021092022,1248.0
5896,2021092023,1454.0
5897,2021092100,1244.0
5898,2021092101,784.0
5899,2021092102,206.0
5900,2021092103,-324.0
5901,2021092104,-743.0
5902,2021092105,-915.0
5903,2021092106,-833.0
5904,2021092107,-485.0
5905,2021092108,72.0
5906,2021092109,693.0
5907,2021092110,1201.0
5908,2021092111,1424.0
5909,2021092112,1265.0
5910,2021092113,771.0
5911,2021092114,170.0
5912,2021092115,-434.0
5913,2021092116,-858.0
5914,2021092117,-1136.0
